                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.47859,                0.35744,                0.90874,                0.73321,                0.53647,                0.55692,                0.37285,                 1.2476,                 1.2249,                 1.4955,             0.00041405,             0.00041405,             0.00041405
                    113,                0.48645,                0.36396,                0.92034,                0.79232,                0.53117,                 0.5738,                0.37384,                 1.2582,                 1.2853,                 1.5158,             0.00040955,             0.00040955,             0.00040955
                    114,                0.46464,                0.34978,                0.90049,                0.79894,                0.51977,                0.57337,                0.37345,                 1.2566,                 1.2479,                 1.4966,             0.00040505,             0.00040505,             0.00040505
                    115,                0.46818,                 0.3484,                0.90719,                0.65535,                0.51652,                0.57607,                0.37828,                 1.2653,                 1.2955,                 1.4887,             0.00040055,             0.00040055,             0.00040055
                    116,                0.46325,                0.34373,                0.90257,                 0.7611,                 0.5624,                0.56516,                0.37393,                 1.2434,                 1.2166,                 1.4941,             0.00039605,             0.00039605,             0.00039605
                    117,                0.47803,                0.35397,                 0.9132,                0.61403,                0.51101,                0.56484,                0.36948,                 1.2265,                 1.2754,                 1.5061,             0.00039155,             0.00039155,             0.00039155
                    118,                0.47008,                0.35713,                0.91015,                0.61201,                0.55883,                0.57631,                0.37586,                 1.2334,                 1.3109,                 1.4677,             0.00038705,             0.00038705,             0.00038705
                    119,                0.46726,                0.35417,                0.90595,                0.70348,                0.53706,                0.56583,                0.36351,                 1.2486,                 1.1856,                 1.4692,             0.00038255,             0.00038255,             0.00038255
                    120,                0.46144,                0.34811,                0.90471,                0.73602,                0.51486,                0.55366,                0.36512,                  1.238,                 1.1405,                 1.4447,             0.00037805,             0.00037805,             0.00037805
                    121,                0.46041,                0.35056,                0.91006,                0.69484,                0.50128,                0.55438,                0.35893,                 1.2631,                 1.1798,                 1.5009,             0.00037355,             0.00037355,             0.00037355
                    122,                0.45255,                0.33793,                 0.9078,                0.76209,                0.48444,                 0.5486,                0.36088,                 1.2409,                 1.1726,                 1.4992,             0.00036905,             0.00036905,             0.00036905
                    123,                0.45822,                0.34602,                0.90891,                0.70604,                0.54006,                0.56977,                0.36331,                  1.264,                 1.1615,                 1.5111,             0.00036455,             0.00036455,             0.00036455
                    124,                0.45802,                0.34488,                0.90425,                0.66403,                0.54391,                0.55326,                0.35919,                 1.2541,                 1.1927,                 1.4949,             0.00036005,             0.00036005,             0.00036005
                    125,                 0.4454,                0.34152,                0.89235,                0.71354,                0.50959,                0.56069,                0.35549,                 1.2645,                 1.1743,                 1.4882,             0.00035556,             0.00035556,             0.00035556
                    126,                0.45096,                0.34545,                0.90448,                0.69504,                0.51387,                 0.5685,                0.36226,                 1.2362,                 1.1546,                 1.4681,             0.00035106,             0.00035106,             0.00035106
                    127,                0.46541,                0.34603,                0.90168,                0.75743,                0.49516,                0.57443,                0.37121,                 1.2578,                 1.1152,                 1.5122,             0.00034656,             0.00034656,             0.00034656
                    128,                0.44335,                0.32574,                0.89329,                0.57843,                0.54641,                 0.5843,                0.38011,                  1.286,                  1.121,                 1.5359,             0.00034206,             0.00034206,             0.00034206
                    129,                0.44217,                0.32862,                0.89953,                0.73946,                0.54115,                0.56034,                0.36265,                 1.2929,                 1.1553,                  1.578,             0.00033756,             0.00033756,             0.00033756
                    130,                0.44915,                0.33593,                0.90552,                0.72434,                 0.4893,                0.53563,                0.34735,                 1.2863,                 1.2656,                 1.5675,             0.00033306,             0.00033306,             0.00033306
                    131,                0.42832,                0.32623,                0.89375,                0.53444,                0.52941,                0.54542,                0.35176,                 1.3232,                 1.2721,                  1.586,             0.00032856,             0.00032856,             0.00032856
                    132,                0.44221,                0.33595,                0.89476,                0.54965,                0.52046,                0.56433,                0.36022,                 1.3248,                 1.3115,                 1.5973,             0.00032406,             0.00032406,             0.00032406
                    133,                0.43921,                0.33106,                0.89998,                0.57734,                0.52409,                0.58322,                0.37292,                 1.2888,                 1.1475,                 1.5852,             0.00031956,             0.00031956,             0.00031956
                    134,                0.44968,                0.33399,                 0.8949,                0.52525,                0.59058,                0.59596,                  0.373,                 1.3021,                 1.0926,                  1.567,             0.00031506,             0.00031506,             0.00031506
                    135,                0.44232,                0.32544,                0.89502,                0.57309,                0.57701,                0.58867,                0.37208,                  1.281,                 1.1039,                 1.5636,             0.00031056,             0.00031056,             0.00031056
                    136,                0.43305,                0.33211,                0.89801,                0.55279,                0.53205,                0.56554,                0.36256,                 1.2911,                 1.2026,                 1.5445,             0.00030606,             0.00030606,             0.00030606
                    137,                0.42698,                0.33211,                0.89739,                0.76054,                0.51868,                0.55868,                0.36839,                  1.274,                 1.2933,                 1.5294,             0.00030156,             0.00030156,             0.00030156
                    138,                0.43397,                0.32871,                 0.8999,                0.54913,                0.58257,                0.57284,                0.37196,                 1.2655,                 1.2074,                 1.5171,             0.00029706,             0.00029706,             0.00029706
                    139,                0.43516,                 0.3174,                0.88631,                 0.6887,                 0.5371,                0.57479,                0.36477,                  1.284,                 1.1277,                 1.5244,             0.00029256,             0.00029256,             0.00029256
                    140,                0.42968,                0.32139,                0.89415,                0.60064,                0.57037,                0.57691,                0.36626,                 1.2798,                 1.1897,                 1.5168,             0.00028806,             0.00028806,             0.00028806
                    141,                0.42846,                0.32285,                  0.902,                0.73408,                0.59581,                0.59986,                0.38307,                 1.2808,                 1.1139,                 1.5128,             0.00028356,             0.00028356,             0.00028356
                    142,                  0.426,                0.32151,                0.89432,                0.66098,                0.56568,                0.59649,                0.38419,                 1.2646,                 1.0807,                 1.4894,             0.00027906,             0.00027906,             0.00027906
                    143,                 0.4149,                0.30789,                0.89141,                0.75688,                0.47531,                0.56777,                0.36444,                  1.281,                 1.2195,                 1.5225,             0.00027456,             0.00027456,             0.00027456
                    144,                0.42539,                0.31953,                0.89148,                0.73515,                 0.4771,                0.56455,                0.36215,                 1.2868,                 1.2011,                 1.5232,             0.00027006,             0.00027006,             0.00027006
                    145,                0.41801,                0.31367,                0.89318,                0.68557,                0.52452,                0.56115,                0.36062,                 1.2763,                 1.1523,                 1.5363,             0.00026556,             0.00026556,             0.00026556
